2016-02-02 02:22:23,331 [11] INFO  umbraco.BusinessLogic.Log - [T8/D2] Log scrubbed.  Removed all items older than 2015-12-04 02:22:22
2016-02-02 04:01:58,652 [11] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T68/D2] [LogScrubber] Terminating
2016-02-02 04:01:58,663 [11] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T68/D2] [LogScrubber] Waiting for tasks to complete
2016-02-02 04:01:58,964 [11] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T68/D2] [LogScrubber] Tasks completed, terminated
2016-02-02 04:01:58,971 [11] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T68/D2] [ScheduledTasks] Terminating
2016-02-02 04:01:58,971 [11] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T68/D2] [ScheduledTasks] Waiting for tasks to complete
2016-02-02 04:01:58,971 [11] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T68/D2] [ScheduledTasks] Tasks completed, terminated
2016-02-02 04:01:58,971 [11] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T68/D2] [ScheduledPublishing] Terminating
2016-02-02 04:01:58,971 [11] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T68/D2] [ScheduledPublishing] Waiting for tasks to complete
2016-02-02 04:01:58,971 [11] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T68/D2] [ScheduledPublishing] Tasks completed, terminated
2016-02-02 04:01:58,976 [11] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T68/D2] [XmlCacheFilePersister] Terminating
2016-02-02 04:01:58,976 [11] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T68/D2] [XmlCacheFilePersister] Waiting for tasks to complete
2016-02-02 04:01:59,827 [11] INFO  umbraco.content - [T17/D2] Save Xml to file...
2016-02-02 04:02:05,521 [11] INFO  umbraco.content - [T113/D2] Saved Xml to file.
2016-02-02 04:02:05,534 [11] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T84/D2] [XmlCacheFilePersister] Tasks completed, terminated
2016-02-02 04:02:06,235 [11] INFO  Umbraco.Core.UmbracoApplicationBase - [T68/D2] Application shutdown. Reason: HostingEnvironment
2016-02-02 06:23:01,956 [11] INFO  Umbraco.Core.CoreBootManager - [T1/D2] Umbraco application starting
2016-02-02 06:23:02,212 [11] INFO  Umbraco.Core.PluginManager - [T1/D2] Determining hash of code files on disk
2016-02-02 06:23:02,251 [11] INFO  Umbraco.Core.PluginManager - [T1/D2] Hash determined (took 38ms)
